id,REF,Nome,"Descrição curta","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)",Preço,Categorias,Imagem1,Imagem2,Imagem3,Imagem4,Imagem5,Imagem6
637,PRT-Lions,"Brindes e homenagens","Pratos cerâmicos personalizados sob encomenda",,,,,,"Pratos Decorativos",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/PT-Lions-28.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Recanto-Gurra.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Família-Nascimento.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/11/Pan-de-Palo-Face.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/PratoMoto.jpg,
638,PRT-Cozinha,"Decoração com pratos cerâmicos","Faiança decorada a mão.",,,,,"115,00","Pratos Decorativos",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Prato-para-decorar-lanchonete.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Prato-decorativo-para-cozinha.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Prato-decorativo-para-lanchonete.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Prato-decorativo-para-restaurante.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Prato-para-decorar-restaurante.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Galo_1.jpg
646,MOD-Azul,"Azulejaria | Azulejos Modulados","Traga a sua ideia, nos realizamos pra você.",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Modulado.jpg,,,,,
659,LIONS-8,"Azulejaria | Cerâmica Artesanal Decorativa | Sob Encomenda","Logotipo produzido em azulejos, para fachada.",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Lions.jpg,,,,,
661,RAI-8,"Azulejos com Pintura Artesanal sob Encomenda","Logotipo produzido em azulejo, para fachada comercial.",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Rai-80x60-cm.jpg,,,,,
662,CED-9,"Logotipo, azulejaria, faiança, louça, cerâmica artesanal decorativa","Logotipo de escola feito em azulejos",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/CEDIS-60x60-cm.jpg,,,,,
663,IBIZ-16,"Sinalização para fachada em azulejos","Logotipo feito em azulejos, para fachada de condomínio.",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Caminhos-da-Serra-80x80-cm.jpg,,,,,
664,LUBECK-9,LUBECK-9,"Logotipo produzido em azulejos de 20x20 cm.",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Painel-Lubeck.jpg,,,,,
665,MOJ-42,"azulejaria, faiança, louça, cerâmica artesanal decorativa, logotipo","Painel de azulejos para sinalização.",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Monjolinho-100x100-cm.jpg,,,,,
666,BRH-4,"azulejaria, faiança, louça, cerâmica artesanal decorativa","Logotipo produzido em azulejos para decoração de bar.",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Painel-Brahma-Chopp-pintado-em-azulejos.jpg,,,,,
669,Casal-45x25,"Lembrança de casamento","Uma lembrança de casamento que vai durar pra sempre.",,,,,"236,00",Rostos,,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Suporte-Mesa.jpg,,,,
